"ICD-10-4","Geschlecht","Insgesamt","unter 1 Jahr","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95 und älter","unbekannt","year"
"F101","m","5544","2","1","3","67","422","379","350","470","700","827","718","549","347","315","208","94","55","29","4","3","1","0","2003"
"F101","w","2352","0","1","1","60","192","124","104","143","280","343","289","227","175","166","107","43","52","35","7","2","1","0","2003"
"F102","m","102465","1","0","2","15","529","1905","3685","8518","16900","22061","19255","13664","6982","5076","2506","953","313","84","14","1","0","1","2003"
"F102","w","32109","2","0","0","14","165","403","910","2040","4828","6527","6052","4329","2712","2220","1108","458","207","104","24","6","0","0","2003"
"F103","m","36150","0","0","0","1","116","491","1120","2919","5894","8207","7039","4779","2374","1821","913","314","113","37","9","3","0","0","2003"
"F103","w","9487","0","1","0","1","31","104","223","544","1382","2038","1797","1306","779","622","399","154","83","22","1","0","0","0","2003"
"F104","m","13598","0","0","0","1","31","111","287","888","1824","2606","2498","1959","1209","1046","683","273","127","37","10","8","0","0","2003"
"F104","w","3329","0","0","0","2","17","13","52","125","344","556","568","486","375","321","243","95","67","40","17","7","1","0","2003"
"F105","m","1629","0","0","0","0","30","43","62","95","229","317","295","229","108","105","67","33","12","4","0","0","0","0","2003"
"F105","w","583","0","0","0","1","11","13","17","27","77","86","78","87","56","51","40","19","14","5","0","1","0","0","2003"
"F106","m","3035","0","0","0","1","4","3","4","34","89","213","347","403","421","618","486","224","135","46","5","1","1","0","2003"
"F106","w","1095","0","0","0","0","1","2","2","2","24","86","103","163","154","212","144","100","50","39","10","2","1","0","2003"
"F107","m","1922","0","0","0","1","5","10","13","47","103","217","275","293","210","292","211","140","66","31","6","2","0","0","2003"
"F107","w","605","0","0","0","0","8","3","3","3","36","56","60","93","72","101","62","45","30","24","6","3","0","0","2003"
"F108","m","491","0","0","0","0","16","32","26","34","54","100","55","60","24","38","25","14","10","0","3","0","0","0","2003"
"F108","w","188","0","0","0","1","10","5","7","3","19","30","18","25","22","24","14","2","5","3","0","0","0","0","2003"
"F109","m","706","0","0","0","4","35","26","31","60","98","134","109","80","52","38","20","11","4","2","1","1","0","0","2003"
"F109","w","265","0","0","0","3","9","11","5","9","39","55","34","21","26","20","17","8","2","4","1","1","0","0","2003"
