

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=703:21305838D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Fälle je 100000 Einwohner). Gliederungsmerkmale: Jahre, Wohnsitz, Alter, Geschlecht, Verweildauer, Art der Standardisierung                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Verweildauer:;alle Fälle
ICD10:;F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation
Sachverhalt:;Fälle
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2011&quot;
""
;;;"";;;;;;;;;;;;;;;;;;;
;;;" Baden-Württemberg";" Bayern";" Berlin";" Brandenburg";" Bremen";" Hamburg";" Hessen";" Mecklenburg-Vorpommern";" Niedersachsen";" Nordrhein-Westfalen";" Rheinland-Pfalz";" Saarland";" Sachsen";" Sachsen-Anhalt";" Schleswig-Holstein";" Thüringen";" Früheres Bundesgebiet und Berlin-Ost";" Neue Länder ohne Berlin-Ost";" Ausland oder unbekannt";
;;"             75 bis unter 80 Jahre";"72";"119";"8";"6";"6";"6";"33";"5";"61";"135";"22";"9";"29";"13";"27";"8";"498";"61";"3";
;;"             80 bis unter 85 Jahre";"29";"49";"5";"1";"1";"1";"19";"";"17";"55";"9";"5";"13";"3";"19";"6";"209";"23";"";
;;"             85 bis unter 90 Jahre";"15";"20";"2";"";"";"3";"11";"";"3";"23";"7";"2";"4";"1";"5";"2";"91";"7";"";
;;"                90 bis unter 95 Jahre";"4";"8";"";"1";"";"";"1";"";"4";"5";"1";"1";"1";"";"1";"";"25";"2";"";
;;"                   95 bis unter 100 Jahre";"1";"1";"";"";"";"";"";"";"1";"3";"";"";"";"";"";"";"6";"";"";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;"    Unbekannt";"             Unter 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             15 bis unter 20 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             20 bis unter 25 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                25 bis unter 30 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                30 bis unter 35 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                35 bis unter 40 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                40 bis unter 45 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             45 bis unter 50 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             50 bis unter 55 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             55 bis unter 60 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             60 bis unter 65 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"          65 bis unter 70 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"          70 bis unter 75 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             75 bis unter 80 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             80 bis unter 85 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             85 bis unter 90 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                90 bis unter 95 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                   95 bis unter 100 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"    2013";"    Männlich";"             Unter 1 Jahr";"";"1";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"4";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"193";"295";"15";"45";"6";"13";"87";"45";"130";"262";"80";"18";"58";"33";"30";"43";"1.129";"224";"9";
;;"             15 bis unter 20 Jahre";"1.655";"2.766";"157";"202";"63";"87";"795";"145";"1.239";"2.754";"769";"199";"441";"241";"383";"223";"10.867";"1.252";"112";
;;"             20 bis unter 25 Jahre";"1.025";"1.762";"107";"100";"49";"39";"458";"109";"825";"1.422";"459";"153";"333";"199";"237";"193";"6.536";"934";"142";
;;"                25 bis unter 30 Jahre";"655";"1.192";"163";"124";"36";"40";"347";"123";"578";"1.036";"345";"82";"410";"212";"191";"182";"4.665";"1.051";"151";
;;"                30 bis unter 35 Jahre";"648";"985";"127";"130";"36";"59";"342";"143";"564";"979";"326";"75";"321";"242";"156";"173";"4.297";"1.009";"123";
;;"                35 bis unter 40 Jahre";"674";"955";"175";"103";"39";"85";"316";"156";"588";"1.148";"350";"86";"234";"192";"168";"185";"4.584";"870";"134";
;;"                40 bis unter 45 Jahre";"776";"1.229";"193";"148";"42";"103";"432";"198";"774";"1.690";"389";"81";"343";"330";"287";"209";"5.996";"1.228";"146";
;;"             45 bis unter 50 Jahre";"1.046";"1.426";"195";"234";"48";"78";"505";"294";"973";"2.139";"513";"144";"440";"506";"373";"385";"7.440";"1.859";"121";
;;"             50 bis unter 55 Jahre";"1.061";"1.380";"200";"293";"37";"64";"507";"361";"1.093";"2.139";"604";"155";"506";"448";"367";"327";"7.607";"1.935";"113";
;;"             55 bis unter 60 Jahre";"820";"975";"151";"201";"31";"47";"385";"227";"710";"1.525";"401";"138";"396";"300";"228";"224";"5.411";"1.348";"52";
;;"             60 bis unter 65 Jahre";"487";"716";"71";"118";"28";"38";"219";"129";"451";"933";"280";"73";"227";"156";"160";"149";"3.456";"779";"27";
;;"          65 bis unter 70 Jahre";"260";"447";"45";"44";"25";"24";"121";"46";"207";"424";"144";"27";"96";"65";"75";"56";"1.799";"307";"15";
;;"          70 bis unter 75 Jahre";"224";"325";"36";"38";"15";"15";"92";"46";"189";"388";"94";"27";"88";"58";"53";"48";"1.458";"278";"11";
;;"             75 bis unter 80 Jahre";"134";"197";"18";"23";"5";"10";"63";"27";"87";"249";"72";"22";"48";"38";"43";"23";"900";"159";"3";
;;"             80 bis unter 85 Jahre";"66";"70";"7";"8";"1";"3";"21";"6";"38";"82";"25";"10";"19";"11";"14";"7";"337";"51";"1";
;;"             85 bis unter 90 Jahre";"18";"30";"2";"";"2";"3";"3";"2";"7";"22";"5";"";"5";"1";"5";"2";"97";"10";"";
;;"                90 bis unter 95 Jahre";"7";"4";"";"";"";"";"4";"";"3";"2";"3";"1";"1";"2";"5";"";"29";"3";"";
;;"                   95 bis unter 100 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"                   100 Jahre und älter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;"    Weiblich";"             Unter 1 Jahr";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";
;;"             1 Jahr bis unter 5 Jahre";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"273";"384";"40";"49";"8";"24";"139";"43";"163";"410";"105";"27";"60";"41";"39";"54";"1.612";"247";"4";
;;"             15 bis unter 20 Jahre";"1.075";"1.680";"108";"104";"53";"80";"515";"92";"764";"1.843";"424";"145";"238";"152";"334";"140";"7.021";"726";"64";
;;"             20 bis unter 25 Jahre";"566";"887";"72";"40";"34";"27";"217";"42";"433";"794";"206";"64";"155";"80";"133";"92";"3.433";"409";"63";
;;"                25 bis unter 30 Jahre";"290";"492";"67";"47";"12";"27";"163";"36";"232";"475";"133";"27";"135";"56";"66";"57";"1.984";"331";"36";
;;"                30 bis unter 35 Jahre";"222";"442";"47";"32";"20";"17";"114";"44";"189";"358";"112";"51";"105";"54";"60";"56";"1.632";"291";"42";
;;"                35 bis unter 40 Jahre";"247";"374";"51";"27";"16";"16";"124";"21";"177";"388";"117";"26";"70";"39";"62";"36";"1.598";"193";"24";
