GENESIS-Tabelle: Temporär
Allgemeinbildende Schulen: Absolventen/Abgänger;;;;;;;;;;;;;;
nach dem Schulabschluss - Schuljahr -;;;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;;;
Statistik der allgemein bildenden Schulen;;;;;;;;;;;;;;
Absolventen/Abgänger (Anzahl);;;;;;;;;;;;;;
;;;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss
;;;Insgesamt;Insgesamt;ohne Hauptschulabschluss;ohne Hauptschulabschluss;Hauptschulabschluss;Hauptschulabschluss;Realschulabschluss;Realschulabschluss;Fachhochschulreife;Fachhochschulreife;Allgemeine Hochschulreife;Allgemeine Hochschulreife
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich
2008;13;Mecklenburg-Vorpommern;20806;10791;2063;798;1640;723;5663;2754;471;253;10969;6263
2008;14;Freistaat Sachsen;36456;18177;3134;1140;3169;1309;16229;7866;0;0;13924;7862
2008;15;Sachsen-Anhalt;23726;11691;2573;950;3270;1266;8975;4396;792;412;8116;4667
2008;16;Thüringen;20695;10492;1426;510;2717;1136;8058;3876;0;0;8494;4970
2007;01;Schleswig-Holstein;33757;16406;2953;1142;11501;5066;11079;5737;593;325;7631;4136
2007;02;Hamburg;16049;7978;1684;696;3558;1565;4594;2209;439;242;5774;3266
2007;03;Niedersachsen;91708;44227;6931;2526;17275;7009;44140;21752;1300;696;22062;12244
2007;04;Bremen;7810;3814;593;218;1581;677;3260;1614;0;0;2353;1301
2007;05;Nordrhein-Westfalen;223515;110548;14581;5553;47961;20484;92524;46418;7461;3934;60988;34159
2007;06;Hessen;.;.;.;.;.;.;.;.;.;.;.;.
2007;07;Rheinland-Pfalz;47727;23787;3572;1306;12537;5334;18700;9641;716;386;12202;7120
2007;08;Baden-Württemberg;127823;62056;7434;2839;39260;17110;50654;25488;314;153;30161;16466
2007;09;Bayern;142194;69905;9862;3595;43706;18843;58143;30566;53;27;30430;16874
2007;10;Saarland;11168;5442;847;306;3559;1572;3942;2002;99;52;2721;1510
2007;11;Berlin;34140;17000;3295;1331;7493;3350;10562;5110;0;0;12790;7209
2007;12;Brandenburg;30591;15208;3024;1003;4708;1801;11727;5849;21;14;11111;6541
2007;13;Mecklenburg-Vorpommern;20062;9808;2113;741;2841;1178;8615;4203;265;138;6228;3548
2007;14;Freistaat Sachsen;44000;21656;3744;1367;4352;1728;22058;10709;0;0;13846;7852
2007;15;Sachsen-Anhalt;34937;17806;2768;964;3489;1389;12934;6205;990;531;14756;8717
2007;16;Thüringen;24308;12068;1711;575;3092;1263;10891;5275;0;0;8614;4955
2006;01;Schleswig-Holstein;32418;15728;3164;1134;11074;4975;10784;5537;404;206;6992;3876
2006;02;Hamburg;15457;7632;1802;779;3534;1519;4488;2174;320;175;5313;2985
2006;03;Niedersachsen;91216;44129;7749;2856;17469;7141;43859;21763;1897;991;20242;11378
2006;04;Bremen;8005;4057;580;220;1694;786;3262;1701;80;25;2389;1325
2006;05;Nordrhein-Westfalen;219021;108314;14444;5500;47893;19940;89633;45596;7561;3961;59490;33317
2006;06;Hessen;66645;33092;5435;2137;15535;6674;27058;13697;1707;950;16910;9634
2006;07;Rheinland-Pfalz;47112;23434;3613;1272;13253;5688;18143;9398;589;332;11514;6744
2006;08;Baden-Württemberg;126208;60622;7932;3044;40367;17616;48748;24634;334;166;28827;15162
2006;09;Bayern;140470;68919;10463;3818;44889;19350;56785;30068;39;24;28294;15659
2006;10;Saarland;11050;5458;889;364;3413;1471;3721;1896;110;58;2917;1669
2006;11;Berlin;35640;17516;3390;1336;7920;3463;11337;5408;0;0;12993;7309
2006;12;Brandenburg;34678;16790;3555;1131;6254;2393;14094;6971;0;0;10775;6295
2006;13;Mecklenburg-Vorpommern;23738;11561;2768;947;4146;1764;10390;5137;305;184;6129;3529
2006;14;Freistaat Sachsen;50019;24558;4316;1503;5610;2156;25954;12776;0;0;14139;8123
2006;15;Sachsen-Anhalt;31565;15448;3486;1211;4198;1638;15209;7508;874;495;7798;4596
2006;16;Thüringen;28221;13995;2311;788;3834;1473;13234;6670;0;0;8842;5064
2005;01;Schleswig-Holstein;31047;15262;3098;1162;10758;4827;10227;5367;393;203;6571;3703
2005;02;Hamburg;15277;7659;1771;723;3590;1615;4541;2325;262;142;5113;2854
2005;03;Niedersachsen;92049;44668;8345;3026;18693;7705;43181;21465;1757;966;20073;11506
2005;04;Bremen;7891;3934;690;258;1642;740;3174;1628;131;45;2254;1263
2005;05;Nordrhein-Westfalen;213837;105524;14741;5441;47914;20072;88822;45118;6897;3528;55463;31365
2005;06;Hessen;62892;31101;5280;1991;15312;6576;25468;12887;1142;621;15690;9026
2005;07;Rheinland-Pfalz;46692;23339;3487;1278;14119;6221;17736;9226;516;305;10834;6309
2005;08;Baden-Württemberg;125045;59991;8419;3187;40406;17671;49530;24681;286;145;26404;14307
2005;09;Bayern;136719;67355;10878;3962;44895;19483;54304;29150;48;23;26594;14737
2005;10;Saarland;10920;5454;939;350;3619;1585;3679;1970;83;48;2600;1501
2005;11;Berlin;37187;18650;3576;1337;7631;3219;13306;6773;0;0;12674;7321
2005;12;Brandenburg;35325;17341;3397;1049;6244;2383;15334;7809;49;20;10301;6080
2005;13;Mecklenburg-Vorpommern;23540;11555;2548;884;4086;1708;10896;5418;271;151;5739;3394
2005;14;Freistaat Sachsen;53227;26011;4830;1650;6923;2645;27561;13663;0;0;13913;8053
2005;15;Sachsen-Anhalt;32298;15927;3845;1332;2590;1008;16990;8390;572;310;8301;4887
2005;16;Thüringen;28917;14217;2308;766;4971;1876;12947;6601;0;0;8691;4974
2004;01;Schleswig-Holstein;30796;15029;3030;1078;10943;4975;10147;5294;427;231;6249;3451
2004;02;Hamburg;15785;7662;1785;691;3983;1684;4761;2350;291;141;4965;2796
2004;03;Niedersachsen;116306;58085;8776;3189;22647;9395;64360;33623;1619;932;18904;10946
2004;04;Bremen;7849;3960;786;314;1743;802;3230;1646;11;8;2079;1190
2004;05;Nordrhein-Westfalen;208006;102916;14408;5309;46511;19640;86601;44149;6753;3581;53733;30237
2004;06;Hessen;63414;31402;5639;2092;15380;6712;24883;12678;880;445;16632;9475
2004;07;Rheinland-Pfalz;46059;23111;3709;1368;14199;6302;17095;9143;605;329;10451;5969
2004;08;Baden-Württemberg;122868;59159;8738;3346;40840;17634;48409;24785;303;146;24578;13248
2004;09;Bayern;137161;67263;11800;4225;45897;19933;53405;28634;39;24;26020;14447
2004;10;Saarland;10992;5370;998;392;3639;1573;3819;2015;74;42;2462;1348
